stt,school_name,school_id,location,school_type,ownership,website_url
190,"TRƯỜNG ĐẠI HỌC NÔNG LÂM, ĐẠI HỌC THÁI NGUYÊN",DTN,Thái Nguyên,Trường đại học,Công lập,
191,TRƯỜNG ĐẠI HỌC NGÂN HÀNG TP. HỒ CHÍ MINH,NHS,TP. Hồ Chí Minh,Trường đại học,Công lập,
192,"TRƯỜNG ĐẠI HỌC NGHỆ THUẬT, ĐẠI HỌC HUẾ",DHN,Thừa Thiên Huế,Trường đại học,Công lập,
193,TRƯỜNG ĐẠI HỌC NGOẠI NGỮ - ĐẠI HỌC QUỐC GIA HÀ NỘI,QHF,Hà Nội,Trường đại học,Công lập,
194,TRƯỜNG ĐẠI HỌC NGOẠI NGỮ - TIN HỌC TP. HỒ CHÍ MINH,DNT,TP. Hồ Chí Minh,Trường đại học,Tư thục,
195,"TRƯỜNG ĐẠI HỌC NGOẠI NGỮ, ĐẠI HỌC HUẾ",DHF,Thừa Thiên Huế,Trường đại học,Công lập,
196,TRƯỜNG ĐẠI HỌC NGOẠI THƯƠNG,NTH,Hà Nội,Trường đại học,Công lập,
197,TRƯỜNG ĐẠI HỌC NGUYỄN TẤT THÀNH,NTT,TP. Hồ Chí Minh,Trường đại học,Tư thục,
198,TRƯỜNG ĐẠI HỌC NGUYỄN TRÃI,NTU,Hà Nội,Trường đại học,Tư thục,
199,TRƯỜNG ĐẠI HỌC NHA TRANG,TSN,Khánh Hoà,Trường đại học,Công lập,
200,TRƯỜNG ĐẠI HỌC PHẠM VĂN ĐỒNG,DPQ,Quảng Ngãi,Trường đại học,Công lập,
201,TRƯỜNG ĐẠI HỌC PHAN CHÂU TRINH,DPC,Quảng Nam,Trường đại học,Tư thục,
202,TRƯỜNG ĐẠI HỌC PHAN THIẾT,DPT,Bình Thuận,Trường đại học,Tư thục,
203,TRƯỜNG ĐẠI HỌC PHENIKAA,DTA,Hà Nội,Trường đại học,Tư thục,
204,TRƯỜNG ĐẠI HỌC PHÚ XUÂN,DPX,Thừa Thiên Huế,Trường đại học,Tư thục,
